,Unnamed: 0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation of star ratings,FOG Index,Flesch Reading Ease,ContentDepth,ContentBreadth
814,814,marlin-waterloo,It was close and convenient to everything The staff was amazingI wish my room was clean everyday,2024-10-21,10.0,8.1,10695,0,0,I would definitely recommend and stay there again,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,8,17,42,1.9000000000000004,9.15,71.14,0.8641062933174573,0.741695343305063
815,815,nyx-hotel-london-by-leonardo-hotels,"Great location for us, the staff were extremely friendly and helpful, bar and restaurant were greatWe liked it all",2024-10-09,10.0,8.4,9394,0,0,"Great location, really lovely clean hotel, very friendly and helpful staff",5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02,11,19,54,1.5999999999999996,11.81,69.11,0.7218125503879785,0.803729728516928
816,816,the-clermont-victoria,Fantastic location  only 7 minutes walk to Buckingham Palace and right beside Victoria Station  Room surprisingly quiet for being in such a busy area  Breakfast was excellent  Lots to choose from Room clean and bed amazingly comfortable  Staff could not have been more helpful  Special shout out to Geanane and Paddy who made us feel so welcome and were willing to help with any queries we had  We hope to return,2024-09-16,10.0,8.7,6664,0,0,Comfortable stay in a stylish hotel,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02,6,71,77,1.3000000000000007,32.91,16.33,1.060176297595297,0.7932442317505015
817,817,parkinternational,"Everything, hotel location was very handy and staff very helpful and friendlyNothing, everything was 100",2024-11-12,10.0,7.6,6120,0,0,We will hopefully be back staying here in 2025,4,8.4,7.5,7.9,8.0,7.4,9.0,2024-12-02,9,15,20,2.4000000000000004,11.33,47.79,1.0854299108363916,0.6492741050804612
818,818,zedwell-trocaderor,"The location was great, the bed is very comfortable and the room is very cleanNo tissue box, no hair dryer, no emptying of bins, no cleaning and no changing of towels",2022-05-26,8.0,7.4,39497,1,0,Very good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,2,31,921,0.5999999999999996,16.27,56.93,0.582587253250238,0.8664695889845947
819,819,lancaster-gate,LocationNothing,2024-07-03,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,2,1,152,0.2999999999999998,40.4,-217.19,2.4192407118057893,0.8690013040492119
820,820,crestfieldhotel,"location
clean bathroom
good towels
tea making in roomsmall beds small room",2022-09-06,7.0,7.8,6515,0,0,good enough,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,2,12,818,0.7999999999999998,8.13,67.76,1.476604416058836,0.6662444873101145
821,821,radissonblugrafton,"perfect location right beside a tube station we could travel anywhere around the city and to the airportthe noise at night, it could have just been a group in the room beside us being loud but lost sleep over it",2023-01-30,7.0,7.9,9315,0,0,"lovely hotel, nice vibe, spotlessly clean and comfortable",4,8.7,8.0,8.4,8.5,7.4,9.1,2024-12-02,8,40,672,0.9000000000000004,18.0,56.26,1.0140218895557822,1.438855742680175
822,822,montcalm-chilworth-townhouse,"Well located property, close to tube station and easy walking distance to many local sites  Reception and restaurant staff were consistent welcoming and friendly  Room was compact but comfortable and well appointed for a small spaceRoom was small as indicated but well appointed",2024-05-12,9.0,7.7,9205,0,0,"Great stay in stylish, wellappointed property in an ideal location",5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,10,43,204,1.2999999999999998,24.64,27.83,1.6943048683280126,0.6783370910363323
823,823,alexandra-hotel,"Very clean , plenty of tea and coffee, comfy bed ,local buses for easy commute to centreAll of it",2023-01-09,10.0,7.0,6404,0,0,Exceptional,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02,1,19,693,3.0,9.42,70.13,0.7860403046929292,2.1510834921262365
824,824,phoenixhotel,Everything ot was excellent couldnt speak highly enough of the staff,2022-12-03,10.0,8.2,5898,0,0,Exceptional,4,9.0,8.1,8.7,8.5,8.3,9.2,2024-12-02,1,11,730,1.8000000000000007,8.04,68.77,1.8113496220721892,0.5044310332217309
825,825,express-hammersmith,"Location to the tube, the breakfast choice and the cleanlinessNothing not to like",2022-01-08,10.0,8.0,8003,0,0,Exceptional,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,1,13,1059,2.0,11.35,66.74,1.0854895965772662,1.576683607104394
826,826,stgileshotel,locationroom very small and noisey,2023-03-05,6.0,7.0,14989,0,0,Pleasant,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,1,5,638,1.0,10.0,66.4,1.8323121903215296,0.8388729689827823
827,827,nyx-hotel-london-by-leonardo-hotels,"Terrible Location , Service and attitude of staff beyond ridiculousAs above",2023-07-19,1.0,8.4,9394,0,0,We left early asked for refund and changed to St Martins Lane,5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02,12,11,502,7.4,12.0,35.95,1.0854089434222842,1.7433157356103681
