,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date
829,zedwell-trocaderor,Location is Perfect and Staff war very friendlyHeating the room and a lighting was poor And even it is a concept a cabinet is a must in a Hotel,2023-03-02,7.0,7.4,39497,0,0,It did match our needs,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02
830,blakemore,Handy and good valueThe twin beds had no space between them,2024-10-22,8.0,8.3,12340,0,0,"Enjoyable, modern and clean",4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
831,stgileshotel,"Nice view, nice place and easy to get around the city got a upgrade for freenot very good breakfast, crowded, a bit smelly room",2022-01-03,8.0,7.0,14989,0,0,Very good,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
832,marlin-waterloo,Location was close to major attraction but we didnt feel safe walking outside in the evening,2022-08-28,7.0,8.1,10695,0,0,Good,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02
833,stgileshotel,"Good locationNoisy air con, rowdy guests and dirty bed sheets",2023-02-27,5.0,7.0,14989,0,0,Passable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
834,the-clermont-victoria,"Just the location and attitude of the staffThere was a paper tissue left from the previous guest on the nightstand, it stood on the table all over my visit I regularly said to the receptionist about this problem and nothing changed Additionally I stayed in a family room and 2nd bed was full of disappointment I havent experienced such an uncomfortable thing before There was also always a problem on the coffee and pancake machine as well and couldnt use it in first try just for once",2024-01-30,7.0,8.7,6664,2,0,Good,4,9.1,8.7,9.1,9.1,8.0,9.6,2024-12-02
835,keystone-house,"Loved the spotless check in, all you need is to tap the digits all the way to your room without the usual hassle of queuing at reception 
Upon check out I left the luggage for couple of hours and that was great
I knew in advance the room is small and there are no lifts, considering the price you pay for this is OK
The AC worked fineMy room was on 1st floor, and it was noisy at night, I highly recommend the management to do something about it",2023-07-11,8.0,7.9,5933,0,0,Overall good,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
836,lancaster-gate,"Excellent location 
Clean room
Excellent facilities 
Good breakfast choiceMix up with rooms Given our room number when we got there it was unmade
Given another room",2024-01-09,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
837,lancaster-gate,staff,2021-12-14,5.0,7.7,14445,0,0,"awful staff or lack of staff, so current staff were unhappy",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02
838,point-a-london-liverpool-street,"Bed was super comfortable, staff are great, I enjoyed my stayVery little room to walk around, hardly any space for a suitcase",2024-01-29,10.0,7.7,8323,0,0,Great stay,3,8.5,7.8,8.1,8.1,7.6,9.2,2024-12-02
839,sidneyhotel,"amazing location, good value for money but missing small details like the beds being at least tided everyday and check in took 45 minutesstaff seemed annoyed if I had questions, beds werent made everyday and breakfast could be improved",2022-02-14,6.0,7.8,12641,0,0,"pleasant, lovely location, rooms are simple but vie was bins out the back and beds not made every dsy",3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
840,park-plaza-county-hall,The location was excellent and facilities were goodThe shower leaked over the floor and housekeeping walked straight into our room at 830 in the morning and we hadnt digitally checked out via the app or at reception  Rather awkward as I was in the shower and my wife and child were getting dressed for the day,2022-04-02,8.0,8.6,11045,0,0,"fantastic location, standard of cleanliness and room condition were excellent",4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
841,blakemore,"Lovely outside area 
Great size bed really comfortableNo mini bar in room fridge was empty No room service after eleven or didnt seem to be as no one answered the phone",2024-10-25,8.0,8.3,12340,0,0,Comfortable and clean  very good location,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02
842,the-belgrave,"Amazing hotel, staff were so friendly and helpful, the room was just as described and the balcony was an amazing additionRoom small so would maybe go for a bigger room next time",2022-02-21,10.0,8.6,5715,0,0,Amazing,4,9.1,8.6,9.1,9.0,8.3,9.2,2024-12-02
843,astorcourthotel,"A person can make an experience positive or negative from the beginning, that was what happened to me as soon as I arrived at the Ibis London hotel  When we checked in, the receptionist was very kind, at the time of making the payment she told me that I needed my credit card in physical form or payment with ApplePay, I told her that due to the commissions for the currency exchange of my bank only had a card in digital format to make my payments in the UK  Even so, the hotels payment terminal does not manage to close the payment with my card and the receptionist asks the colleague, who replies in a very unpleasant way that it is not her problem and that I have to make the payment with a physical card, yes or yes   Thanks to this good management of the hotel staff, my Spanish bank charged me a commission of 75",2022-04-22,7.0,7.9,7132,1,0,Good,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02
844,nyx-hotel-london-by-leonardo-hotels,"La localisation, le personnel et les chambres",2023-11-01,10.0,8.4,9394,0,0,AMAZING,5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02
845,montcalm-chilworth-townhouse,"A quite area of London with very close by infrastructure such as Underground and train station alongside very close to Hyde Park 

Very cute Christmas decorations and a welcoming atmosphere, greeted very pleasantly by staff 
Room is spacious and clean and comfortable a warm room, plenty of space, and a thank you for the appreciation of the kind gestures for my anniversary

Staff are very professional and helpfulJust a little rust and dirt on the bathroom edges but no harm done",2021-12-05,9.0,7.7,9205,0,1,perfect anniversary,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02
846,windsorhousehotel,"Good location, staff was helpful Very clean roomThe Bed was very had",2023-07-10,8.0,8.0,6335,0,0,Decent hotel near Earls Court road,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
847,phoenixhotel,"Breakfast exceeded expectations for continentalRoom tiny, like a cell Bathroom even smaller, more room on a cruise ship",2022-10-23,5.0,8.2,5898,0,0,Passable,4,9.0,8.1,8.7,8.5,8.3,9.2,2024-12-02
848,sidneyhotel,"locationsize of bed 
need more food choice at breakfast",2022-02-24,7.0,7.8,12641,0,0,Hamilton is a great musical conveniently next to hotel,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
849,milleniumgloucester,"Location was great, triple room with three normal beds and not a sofa bed was good Great Chinese restaurant in the  hotel next door the Baileys Hotelbathroom needs updating, reception needs updating, one of the concierges was a bit miserable and sent us on the wrong tubes",2022-12-27,7.0,7.4,15320,0,0,Good,4,8.0,7.4,7.8,7.9,7.3,9.0,2024-12-02
850,keystone-house,"Excellent location Clean, big TV, comfortable bed",2023-10-29,9.0,7.9,5933,0,0,Superb,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02
851,nyx-hotel-london-by-leonardo-hotels,posizionecamere piccole,2022-04-20,8.0,8.4,9394,1,0,Very good,5,8.7,8.7,8.8,8.9,7.9,9.3,2024-12-02
852,stgileshotel,LocationMattress on bed was way to hard,2024-11-04,6.0,7.0,14989,0,0,"Great location, no sleep",3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
853,park-plaza-county-hall,"location is great, quite, safe and close to restaurants, coffee shops, close to London eye  easy to reach
fast check in  out, great front desk team
room is spacious and beds are comfortablethe cleaning service is not good comparing it to my previous stay
some furniture need to be renewed",2024-11-10,8.0,8.6,11045,0,0,Great Stay,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02
854,z-trafalgar,LocationNothing,2023-09-04,10.0,8.4,13923,0,0,Central location in the heart of London,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02
855,montcalm-chilworth-townhouse,I like the janitor or the guy who brought me a spoon he was very nice towards me or he might of been the bellboy Im not sureI didnt like my room I didnt like the facilities were very small the massage was very short the facilities were broken down as well and just how they didnt understand it was my birthday and they didnt make any special arrangements even seeing my ID with my date of birth on it only the the bellboy or the guy who showed me to my room was nice I remembered my birthday and took time to talk to me,2021-12-14,3.0,7.7,9205,0,0,Not worth the money to stay at this place at all its overpriced for what you get,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02
856,sidneyhotel,"the room too small, the price is too much some hotel able to check in an hour before, this hotel they wont let you check in",2022-09-28,6.0,7.8,12641,0,0,Pleasant,3,8.7,7.8,8.3,8.3,7.9,9.1,2024-12-02
857,hanoverhotel,"Nice room decor had a great view of the city, great location, nice breakfast also",2023-05-16,10.0,7.8,5613,0,0,Exceptional,4,8.6,7.8,8.4,8.4,7.9,8.9,2024-12-02
858,stgileshotel,"The hotel is in very central location Hood service and cleanRooms  even the upgraded ones  are tiny, not even a closet to hang clothes or a place to ope Your suitcase
Way toooo small",2024-08-15,6.0,7.0,14989,0,0,Pleasant,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02
859,alexandra-hotel,"very clean excellent facilities, plentiful and variety continental breakfast Staff very friendly and professional Nearly never stayed here due to some of the reviews Highly delighted with this hotel",2022-06-13,10.0,7.0,6404,1,0,"Excellent budget hotel If you want the Ritz, pay the price",3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02
860,windsorhousehotel,"Great hotel, comfy bed and location is close to pubs and metro stationQuite far from the center, but if you take the metro you get there in 2030 mins",2022-05-19,10.0,8.0,6335,0,0,Great hotel in London,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02
